date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:58	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%22613397ee-286ac%22	https://templates.acrothemes.com/wexim/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/fonts/fontawesome-webfont3e6e.ttf	(from https://templates.acrothemes.com/wexim/css/font-awesome.min.css)
00:36:58	8717/8717	---M--	200	added ('OK')	image/png	etag:%2261339a74-220d%22	https://templates.acrothemes.com/wexim/images/cbp-sprite.png	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/cbp-sprite.png	(from https://templates.acrothemes.com/wexim/css/cubeportfolio.min.css)
00:36:58	12136/12136	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222f68-5cb2e05375600%22	https://templates.acrothemes.com/wexim/rs-plugin/fonts/revicons/revicons.eot?5510888	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/fonts/revicons/revicons90c6.eot	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:36:59	7536/7536	---M--	200	added ('OK')	font/woff	etag:%226133a09a-1d70%22	https://templates.acrothemes.com/wexim/rs-plugin/fonts/revicons/revicons.woff?5510888	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/fonts/revicons/revicons90c6.woff	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:36:59	11968/11968	---M--	200	added ('OK')	application/octet-stream	etag:%226133a098-2ec0%22	https://templates.acrothemes.com/wexim/rs-plugin/fonts/revicons/revicons.ttf?5510888	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/fonts/revicons/revicons90c6.ttf	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:36:59	13691/13691	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226133a098-357b%22	https://templates.acrothemes.com/wexim/rs-plugin/fonts/revicons/revicons.svg?5510888	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/fonts/revicons/revicons90c6.svg	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:37:00	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%226133a072-146%22	https://templates.acrothemes.com/wexim/rs-plugin/css/openhand.cur	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/css/openhand.cur	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:37:00	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%226133a06e-146%22	https://templates.acrothemes.com/wexim/rs-plugin/css/closedhand.cur	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/css/closedhand.cur	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:37:00	2898/2898	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b52-62fae9818a54f%22	https://templates.acrothemes.com/wexim/rs-plugin/assets/gridtile.png	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/assets/gridtile.png	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:37:01	2898/2898	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b52-62fae9818a54f%22	https://templates.acrothemes.com/wexim/rs-plugin/assets/gridtile_white.png	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/assets/gridtile_white.png	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:37:01	2898/2898	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b52-62fae9818a54f%22	https://templates.acrothemes.com/wexim/rs-plugin/assets/gridtile_3x3.png	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/assets/gridtile_3x3.png	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:37:01	2898/2898	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b52-62fae9818a54f%22	https://templates.acrothemes.com/wexim/rs-plugin/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/assets/gridtile_3x3_white.png	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:37:02	2898/2898	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b52-62fae9818a54f%22	https://templates.acrothemes.com/wexim/rs-plugin/assets/coloredbg.png	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/assets/coloredbg.png	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:37:02	2545/2545	---M--	200	added ('OK')	image/gif	etag:%226133a06e-9f1%22	https://templates.acrothemes.com/wexim/rs-plugin/assets/loader.gif	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/rs-plugin/assets/loader.gif	(from https://templates.acrothemes.com/wexim/rs-plugin/css/settings.css)
00:37:04	248197/248197	---M--	200	added ('OK')	image/jpeg	etag:%2261339958-3c985%22	https://templates.acrothemes.com/wexim/images/bg-img1.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/bg-img1.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
00:37:23	390713/390713	---M--	200	added ('OK')	image/jpeg	etag:%22613398fe-5f639%22	https://templates.acrothemes.com/wexim/images/address-image.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/address-image.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
00:37:23	603482/603482	---M--	200	added ('OK')	image/jpeg	etag:%2261339fd0-9355a%22	https://templates.acrothemes.com/wexim/images/slider-image3.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/slider-image3.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
00:37:23	420142/420142	---M--	200	added ('OK')	image/jpeg	etag:%226133996c-6692e%22	https://templates.acrothemes.com/wexim/images/bg-img2.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/bg-img2.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
00:37:23	408743/408743	---M--	200	added ('OK')	image/jpeg	etag:%2261339974-63ca7%22	https://templates.acrothemes.com/wexim/images/bg-img3.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/bg-img3.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
00:37:26	297988/297988	---M--	200	added ('OK')	image/jpeg	etag:%2261339984-48c04%22	https://templates.acrothemes.com/wexim/images/bg-img4.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/bg-img4.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
00:37:26	202840/202840	---M--	200	added ('OK')	image/jpeg	etag:%226133998a-31858%22	https://templates.acrothemes.com/wexim/images/bg-img5.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/bg-img5.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
00:37:27	260322/260322	---M--	200	added ('OK')	image/jpeg	etag:%22613399a4-3f8e2%22	https://templates.acrothemes.com/wexim/images/bg-img7.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/bg-img7.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
00:37:28	824952/824952	---M--	200	added ('OK')	image/jpeg	etag:%22613399b6-c9678%22	https://templates.acrothemes.com/wexim/images/bg-img6.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/bg-img6.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
00:37:28	509944/509944	---M--	200	added ('OK')	image/jpeg	etag:%22613399e0-7c7f8%22	https://templates.acrothemes.com/wexim/images/bg-img8.jpg	C:/My%20Web%20Sites/dhk.ae/templates.acrothemes.com/wexim/images/bg-img8.jpg	(from https://templates.acrothemes.com/wexim/css/style.css)
